Symbol,Company Name
BHP,BHP Group Limited
RIO,Rio Tinto Group
CBA,Commonwealth Bank of Australia
CSL,CSL Limited
NAB,National Australia Bank Limited
FMG,Fortescue Metals Group Limited
WBC,Westpac Banking Corporation
ANZ,Australia and New Zealand Banking Group Limited
MQG,Macquarie Group Limited
WES,Wesfarmers Limited
WDS,Woodside Energy Group Ltd
GMG,Goodman Group
WOW,Woolworths Group Limited
TLS,Telstra Group Limited
TCL,Transurban Group
RMD,ResMed Inc.
ALL,Aristocrat Leisure Limited
STO,Santos Limited
WTC,WiseTech Global Limited
JHX,James Hardie Industries plc
REA,REA Group Limited
QBE,QBE Insurance Group Limited
COL,Coles Group Limited
AMC,Amcor plc
COH,Cochlear Limited
BXB,Brambles Limited
SUN,Suncorp Group Limited
XRO,Xero Limited
SCG,Scentre Group
SHL,Sonic Healthcare Limited
NST,Northern Star Resources Limited
S32,South32 Limited
CPU,Computershare Limited
ORG,Origin Energy Limited
MIN,Mineral Resources Limited
IAG,Insurance Australia Group Limited
SVW,Seven Group Holdings Limited
FPH,Fisher & Paykel Healthcare Corporation Limited
ASX,ASX Limited
RHC,Ramsay Health Care Limited
PLS,Pilbara Minerals Limited
CAR,carsales.com Ltd
APA,APA Group
TLC,The Lottery Corporation Limited
SGP,Stockland
BSL,BlueScope Steel Limited
MPL,Medibank Private Limited
PME,Pro Medicus Limited
EDV,Endeavour Group Limited
SEK,SEEK Limited
VCX,Vicinity Centres
QAN,Qantas Airways Limited
WOR,Worley Limited
ALD,Ampol Limited
TWE,Treasury Wine Estates Limited
GPT,The GPT Group
DXS,Dexus
MGR,Mirvac Group
EVN,Evolution Mining Limited
AZJ,Aurizon Holdings Limited
NXT,NEXTDC Limited
IGO,IGO Limited
LYC,Lynas Rare Earths Limited
AGL,AGL Energy Limited
SDF,Steadfast Group Limited
WHC,Whitehaven Coal Limited
AKE,Allkem Limited
JBH,JB Hi-Fi Limited
IEL,IDP Education Limited
CHC,Charter Hall Group
IPL,Incitec Pivot Limited
HVN,Harvey Norman Holdings Limited
LLC,Lendlease Group
TNE,Technology One Limited
NHC,New Hope Corporation Limited
FLT,Flight Centre Travel Group Limited
SUL,Super Retail Group Limited
SFR,Sandfire Resources Limited
TLX,Telix Pharmaceuticals Limited
PDN,Paladin Energy Ltd
CTD,Corporate Travel Management Limited
ILU,Iluka Resources Limited
AWC,Alumina Limited
VNT,Ventia Services Group Limited
AMP,AMP Limited
AZS,Azure Minerals Limited
KAR,Karoon Energy Ltd
IFL,Insignia Financial Ltd.
CCP,Credit Corp Group Limited
TPW,Temple & Webster Group Ltd
WC8,Wildcat Resources Limited
LPI,Lithium Power International Limited
EML,EML Payments Limited
AUT,Auteco Minerals Limited
