Ticker,Sector,Industry,ROE > 17%,EPS Up 18% (1Y),Sales Up 25% (1Q),Sales Accel. (3Q),EPS Up 25% (5Y),Debt/Equity Down (3Y),Cash/Shares Up 20% (vs. EPS),Passes
MRNA,Health Technology,Biotechnology,True,True,True,True,True,True,True,7
FANG,Energy Minerals,Oil & Gas Production,True,True,False,True,True,True,True,6
NFLX,Technology Services,Internet Software/Services,True,True,False,True,True,True,True,6
PDD,Retail Trade,Department Stores,True,True,True,False,True,True,True,6
CPRT,Retail Trade,Specialty Stores,True,True,False,True,True,True,True,6
QCOM,Electronic Technology,Semiconductors,True,True,False,True,True,True,True,6
TSLA,Consumer Durables,Motor Vehicles,True,True,False,False,True,True,True,5
FAST,Distribution Services,Wholesale Distributors,True,True,False,True,True,False,True,5
PCAR,Producer Manufacturing,Trucks/Construction/Farm Machinery,True,True,False,False,True,True,True,5
LRCX,Producer Manufacturing,Industrial Machinery,True,True,False,True,True,False,True,5
AMAT,Producer Manufacturing,Industrial Machinery,True,True,False,True,True,False,True,5
ODFL,Transportation,Trucking,True,True,False,True,True,False,True,5
PEP,Consumer Non-Durables,Beverages: Non-Alcoholic,True,True,False,False,True,True,True,5
MNST,Consumer Non-Durables,Beverages: Non-Alcoholic,True,True,False,False,True,True,True,5
CCEP,Consumer Non-Durables,Beverages: Non-Alcoholic,True,True,False,True,True,False,True,5
GOOGL,Technology Services,Internet Software/Services,True,True,False,False,True,True,True,5
GOOG,Technology Services,Internet Software/Services,True,True,False,False,True,True,True,5
ADP,Technology Services,Data Processing Services,True,True,False,True,True,False,True,5
MSFT,Technology Services,Packaged Software,True,True,False,False,True,True,True,5
CDNS,Technology Services,Packaged Software,True,True,False,True,True,False,True,5
CTSH,Technology Services,Information Technology Services,True,True,False,False,True,True,True,5
GILD,Health Technology,Biotechnology,True,True,False,False,True,True,True,5
VRTX,Health Technology,Pharmaceuticals: Major,True,True,False,False,True,True,True,5
REGN,Health Technology,Pharmaceuticals: Major,True,True,False,False,True,True,True,5
ROST,Retail Trade,Apparel/Footwear Retail,True,True,False,False,True,True,True,5
