Ticker,Industry,Sector,Fiscal_Year_End,ROE,Annual_EPS,Annual_EPS_Growth,Annual_Net_Income_Growth,Annual_Basic_Shares_Outstanding,Annual_Sales_Growth,Quarter_EPS,Quarter_EPS_Growth,Quarter_Net_Income_Growth,Quarter_Net_Margin,Quarter_Sales_Growth,Total_Shareholders_Equity,Liabilities_&_Shareholders_Equity,Net_Operating_Cash_Flow
AACG,Miscellaneous Commercial Services,Commercial Services,12/2023,-28.423,(0.11) (0.09) (0.23) (0.36) 2.76,-27.59% 60.97% 37.60% -113.22% -,-27.66% 60.91% 26.03% -82.62% -,- 31374.0 31330.0 25457.9 22898.4,-2.04% 33.45% 66.05% 6894.39% -,(0.02) (0.04) (0.04) 0.00 (0.03),59.23% 5.57% -1017.78% 116.25% -,59.19% 5.50% -1015.33% 116.21% -,-23.16% - - - -,58.91% -16.53% -43.96% 45.17% -,20584.8 29461.6 30338.1 43088.3 40173.2,68251.6 79577.5 88018.1 97059.9 48813.5,(4935.9) (4038.3) (8375.9) (47245.8) -
AADI,Biotechnology,Health Technology,12/2023,-41.056,(0.10) (0.57) (0.31) (1.03) (0.78),82.35% -87.11% 70.25% -31.81% -,81.46% -123.83% 51.42% -26.01% -,2841.6 2705.9 2262.1 1444.9 1803.3,0.00% 0.00% 0.00% - -,(0.09) (0.09) (0.10) (0.12) 0.23,0.96% 6.19% 14.88% -151.85% -,0.76% 5.84% 4.80% -153.42% -,-28.77% - - - -,- - - 0.00% -,43057.9 36535.3 58666.6 17435.5 (12460.7),44924.7 39936.8 64123.5 21027.7 2396.9,(5385.0) (23852.5) (5808.0) (18883.5) (15718.1)
AAGR,Agricultural Commodities/Milling,Process Industries,12/2023,-7.78,(0.25) (0.04) - - -,-507.43% 0.00% - - -,-463.54% 0.00% - - -,35369.1 38129.0 - - -,(0.08) (0.03) (0.05) (0.07) (0.02),-209.56% 49.91% 25.72% -200.82% -,-176.80% 55.79% 57.02% -127.75% -,- - - -,29768.6 193354.4 - - -,47438.3 201547.8 - - -,(1921.9) (626.2) - - -
AAL,Airlines,Transportation,12/2023,N/A,0.19 (3.09) (18.36) 3.80 3.03,106.27% 83.15% -583.84% 25.25% -,106.37% 77.57% -626.99% 19.41% -,650 644 484 443 464,63.88% 72.36% -62.12% 2.75% -,(0.83) 1.88 0.02 1.12 0.67,-144.40% 12246.71% -98.64% 66.23% -,-140.73% 13280.00% -98.75% 66.25% -,0.26% - - - -,-4.08% 15.31% -7.58% -2.03% -,(5799) (7340) (6867) (118) (169),64716 66467 62008 59995 60580,2173 704 (6543) 3815 3533
AAON,Industrial Machinery,Producer Manufacturing,12/2023,19.55,1.24 0.73 0.99 0.68 0.54,69.66% -26.55% 45.92% 26.97% -,70.83% -25.63% 47.10% 26.89% -,79582.5 78606.3 78253.0 78119.8 78426.9,66.28% 3.88% 9.63% 8.15% -,0.58 0.55 0.44 0.47 0.34,5.34% 23.18% -6.09% 39.39% -,5.24% 24.09% -5.36% 41.59% -,11.29% - - - -,9.87% 6.77% 4.46% 4.94% -,560714.0 466170.0 350865.0 290140.0 249443.0,845282.0 667566.0 461439.0 383941.0 318140.0,61318.0 61183.0 128814.0 97925.0 54856.0
AAPL,Telecommunications Equipment,Electronic Technology,09/2024,171.95,6.13 6.11 5.61 3.28 2.97,0.34% 8.89% 71.40% 10.23% -,-2.81% 5.41% 64.92% 3.90% -,15744 16216 16701 17352 18471,-2.80% 7.79% 33.44% 5.46% -,1.46 1.26 1.52 1.88 1.29,16.22% -17.34% -18.91% 46.25% -,15.47% -17.71% -19.46% 44.77% -,25.31% - - - -,9.41% -13.75% -19.05% 29.96% -,62146 50672 63090 65339 90488,352583 352755 351002 323888 338516,110543 122151 104038 80674 69391
ABCL,Biotechnology,Health Technology,12/2023,14.034,0.56 0.56 0.44 (0.01) 0.00,-0.07% 26.10% 3186.01% -815.00% -,3.29% 29.05% 5479.21% -815.77% -,285056.6 275763.7 269497.8 154091.3 154091.3,29.38% 60.92% 1907.96% 31.49% -,(0.10) (0.11) (0.14) (0.10) 0.09,6.53% 24.18% -33.78% -211.68% -,6.28% 23.89% -34.18% -212.28% -,32.66% - - - -,-34.38% -17.52% -43.41% -78.75% -,1233 1026 831 10 12,1541 1319 1006 23 21,277360.0 244584.0 22690.0 2693.7 3565.6
ABIO,Pharmaceuticals: Major,Health Technology,12/2023,-21.412,(0.69) (1.39) (2.07) (4.15) (10.31),50.44% 32.78% 50.17% 59.76% -,48.63% -98.42% -77.64% 30.90% -,14410.1 13903.9 4710.2 1321.2 769.4,(0.10) (0.10) (0.09) (0.08) (0.16),3.80% -9.96% -14.60% 49.66% -,3.78% -9.96% -14.65% 49.68% -,- - - -,41673.0 51043.0 46521.0 7610.0 6032.0,43085.0 54924.0 50429.0 8536.0 6825.0,(10912.0) (18762.0) (7725.0) (4801.0) (8244.0)
ABNB,Other Consumer Services,Consumer Services,12/2023,36.63,2.78 (0.57) (7.65) (1.14) (0.03),587.02% 92.53% -571.94% -3895.44% -,637.73% 92.32% -579.88% -3899.64% -,637 616 599 592 592,40.18% 77.37% -29.70% 31.58% -,6.63 0.98 0.17 0.47 1.79,578.21% 459.79% -63.22% -73.42% -,572.92% 455.56% -63.32% -73.73% -,22.54% - - - -,36.76% 36.63% -4.42% -34.06% -,5560 4776 2902 (808) (517),16038 13708 10491 8310 6613,3430 2190 (630) 223 596
ABTS,Data Processing Services,Technology Services,12/2022,-78.643,(0.14) 0.00 0.01 (0.64) (1.05),-3315.56% -34.78% 101.08% 39.24% -,-3867.88% -75.80% 103.50% 37.23% -,18935.1 16191.5 43563.3 13471.4 13315.4,-76.83% 155.52% 8.96% 268.69% -,(0.10) - - - -,0.00% - - - -,0.00% - - - -,-1249.19% - - - -,0.00% - - - -,6567.0 400.8 148.7 (10381.6) (2959.0),7737.1 2295.7 2525.6 299.7 1360.5,(1102.4) (1734.3) (1177.7) (6152.7) (8613.1)
ABVC,Pharmaceuticals: Major,Health Technology,12/2023,-211.176,(5.19) (5.12) (4.97) (2.08) (4.80),-1.21% -3.19% -138.62% 56.68% -,-27.92% -31.13% -168.86% 34.68% -,3166.5 2505.4 1971.6 1749.9 1160.7,172.57% -26.34% -31.16% 9987.97% -,(0.82) (0.68) (0.55) (1.49) (1.14),-19.59% -24.07% 63.06% -31.26% -,-46.57% -24.12% 62.51% -31.29% -,-1693.50% - - - -,160.01% -95.24% -78.22% 1293.44% -,4453.0 11101.1 6598.7 3912.4 (5658.0),11209.9 15955.4 14767.1 10991.1 5940.1,(7638.3) (7280.4) (6042.1) (3307.7) (2254.9)
ACAD,Pharmaceuticals: Major,Health Technology,12/2023,-45.888,(1.34) (1.05) (1.79) (1.60) (1.94),-27.71% 41.56% -11.99% 17.49% -,-28.66% 40.38% -19.69% 4.05% -,161683.0 160493.0 157331.0 147199.0 126583.0,6.83% 9.60% 30.28% 51.50% -,(0.40) 0.01 (0.27) (0.26) (0.17),-5935.29% 102.57% -2.91% -53.42% -,-5950.63% 102.59% -3.11% -53.50% -,-41.76% - - - -,28.12% 39.48% -13.21% 4.42% -,400413.0 540894.0 627009.0 699135.0 479079.0,587812.0 700122.0 782616.0 783183.0 540202.0,(114035.0) (125660.0) (136166.0) (151130.0) (167470.0)
ACCD,Information Technology Services,Technology Services,02/2024,-69.142,(6.45) (1.93) (1.72) (1.05) (1.16),-234.28% -11.86% -63.81% 9.08% -,-273.32% -143.08% 1.39% 9.08% -,71279.8 63823.3 29370.6 48788.7 48788.7,17.13% 81.98% 28.57% 39.76% -,(0.43) (0.52) (0.42) (0.56) (0.66),17.17% -24.32% 24.58% 15.19% -,14.54% -26.21% 23.67% 14.30% -,-126.58% - - - -,3.90% -5.86% 8.88% 3.77% -,474 856 391 (257) (231),903 1286 476 73 66,(40705.0) (62350.0) (25232.0) (34247.0) (16548.0)
ACDC,Oilfield Services/Equipment,Industrial Services,12/2023,N/A,1.69 (1.06) (0.84) - -,260.33% -26.29% 0.00% - -,161.74% -26.29% 0.00% - -,54 140 140 - -,106.68% 114.29% 0.00% - -,(0.21) (0.02) 0.40 0.76 0.32,-964.62% -104.87% -47.10% 139.99% -,-744.83% -113.18% -46.21% -8.97% -,3.77% - - - -,-19.04% -16.73% 7.25% 13.98% -,(1184) 216 - - -,2934 1155 - - -,415200.0 - - - -
